Sn,Ag,Cu,d,Frequency,T,Drop,P,Life
96.5,3.5,0,6,0.1,20,25,0.00370711,10621
96.5,3.5,0,6,0.1,20,25,0.00380139,10042
96.5,3.5,0,6,0.1,20,25,0.00384971,9493
96.5,3.5,0,6,0.1,20,25,0.00404726,9077
96.5,3.5,0,6,0.1,20,25,0.00452891,8681
96.5,3.5,0,6,0.1,20,25,0.00500564,7937
96.5,3.5,0,6,0.1,20,25,0.00526283,7421
96.5,3.5,0,6,0.1,20,25,0.00574485,6709
96.5,3.5,0,6,0.1,20,25,0.00667459,6134
96.5,3.5,0,6,0.1,20,25,0.00719379,6067
96.5,3.5,0,6,0.1,20,25,0.00765722,6000
96.5,3.5,0,6,0.1,20,25,0.00825311,5868
96.5,3.5,0,6,0.1,20,25,0.00835752,5674
96.5,3.5,0,6,0.1,20,25,0.00835828,5486
96.5,3.5,0,6,0.1,20,25,0.00846479,5128
96.5,3.5,0,6,0.1,20,25,0.00912547,4636
96.5,3.5,0,6,0.1,20,25,0.00959492,4238
96.5,3.5,0,6,0.1,20,25,0.00971689,4007
96.5,3.5,0,6,0.1,20,25,0.00996278,3962
96.5,3.5,0,6,0.1,20,25,0.0106065,3663
96.5,3.5,0,6,0.1,20,25,0.0108746,3663
96.5,3.5,0,6,0.1,20,25,0.0110128,3463
96.5,3.5,0,6,0.1,20,25,0.0117241,3238
96.5,3.5,0,6,0.1,20,25,0.0121721,3167
96.5,3.5,0,6,0.1,20,25,0.012957,3062
96.5,3.5,0,6,0.1,20,25,0.0132853,2994
96.5,3.5,0,6,0.1,20,25,0.0134542,2831
96.5,3.5,0,6,0.1,20,25,0.0134566,2646
96.5,3.5,0,6,0.1,20,25,0.0136281,2474
96.5,3.5,0,6,0.1,20,25,0.0143266,2419
96.5,3.5,0,6,0.1,20,25,0.0148741,2366
96.5,3.5,0,6,0.1,20,25,0.0156359,2340
96.5,3.5,0,6,0.1,20,25,0.0164392,2187
96.5,3.5,0,6,0.1,20,25,0.0179411,2139
96.5,3,0.5,6,0.1,20,25,0.0029199,19036
96.5,3,0.5,6,0.1,20,25,0.00307058,16452
96.5,3,0.5,6,0.1,20,25,0.00307095,15729
96.5,3,0.5,6,0.1,20,25,0.00356839,13750
96.5,3,0.5,6,0.1,20,25,0.00361342,13445
96.5,3,0.5,6,0.1,20,25,0.00384702,12292
96.5,3,0.5,6,0.1,20,25,0.00389568,11885
96.5,3,0.5,6,0.1,20,25,0.0041991,11365
96.5,3,0.5,6,0.1,20,25,0.00447002,10867
96.5,3,0.5,6,0.1,20,25,0.00469997,9934
96.5,3,0.5,6,0.1,20,25,0.0048192,9606
96.5,3,0.5,6,0.1,20,25,0.00506666,9082
96.5,3,0.5,6,0.1,20,25,0.00526075,8587
96.5,3,0.5,6,0.1,20,25,0.00539453,8119
96.5,3,0.5,6,0.1,20,25,0.00546278,7850
96.5,3,0.5,6,0.1,20,25,0.00581611,7096
96.5,3,0.5,6,0.1,20,25,0.00619248,6343
96.5,3,0.5,6,0.1,20,25,0.00634976,6065
96.5,3,0.5,6,0.1,20,25,0.00667621,5607
96.5,3,0.5,6,0.1,20,25,0.00676047,5483
96.5,3,0.5,6,0.1,20,25,0.0071962,5362
96.5,3,0.5,6,0.1,20,25,0.00747164,5127
96.5,3,0.5,6,0.1,20,25,0.00756709,4739
96.5,3,0.5,6,0.1,20,25,0.00756755,4634
96.5,3,0.5,6,0.1,20,25,0.00756847,4430
96.5,3,0.5,6,0.1,20,25,0.00775999,4381
96.5,3,0.5,6,0.1,20,25,0.0082599,4333
96.5,3,0.5,6,0.1,20,25,0.00868323,4237
96.5,3,0.5,6,0.1,20,25,0.0089035,4097
96.5,3,0.5,6,0.1,20,25,0.00912964,3917
96.5,3,0.5,6,0.1,20,25,0.00948024,3581
96.5,3,0.5,6,0.1,20,25,0.00960018,3462
96.5,3,0.5,6,0.1,20,25,0.00972251,3237
96.5,3,0.5,6,0.1,20,25,0.00984521,3165
96.5,3,0.5,6,0.1,20,25,0.0102208,3165
96.5,3,0.5,6,0.1,20,25,0.0112939,3166
96.5,3,0.5,6,0.1,20,25,0.0123242,3239
96.5,3,0.5,6,0.1,20,25,0.0118746,2927
96.5,3,0.5,6,0.1,20,25,0.0118771,2706
96.5,3,0.5,6,0.1,20,25,0.012178,2646
96.5,3,0.5,6,0.1,20,25,0.0126449,2474
96.5,3,0.5,6,0.1,20,25,0.0128057,2339
96.5,3,0.5,6,0.1,20,25,0.0132966,2186
96.5,3,0.5,6,0.1,20,25,0.0134644,2138
96.5,3,0.5,6,0.1,20,25,0.0138056,2090
96.5,3,0.5,6,0.1,20,25,0.0145127,2067
96.5,3,0.5,6,0.1,20,25,0.0145136,2021
96.5,3,0.5,6,0.1,20,25,0.0146985,1890
96.5,3,0.5,6,0.1,20,25,0.0150714,1827
96.5,3,0.5,6,0.1,20,25,0.0162448,1767
96.5,3,0.5,6,0.1,20,25,0.0166558,1747
96.5,3,0.5,6,0.1,20,25,0.0168691,1597
96.5,3.5,0,6,0.1,20,25,0.00301834,12641
96.5,3.5,0,6,0.1,20,25,0.00326927,12136
96.5,3.5,0,6,0.1,20,25,0.00331307,11891
96.5,3.5,0,6,0.1,20,25,0.00344804,9899
96.5,3.5,0,6,0.1,20,25,0.00368531,9217
96.5,3.5,0,6,0.1,20,25,0.00393891,8940
96.5,3.5,0,6,0.1,20,25,0.00409937,8759
96.5,3.5,0,6,0.1,20,25,0.00444016,8496
96.5,3.5,0,6,0.1,20,25,0.0047457,8240
96.5,3.5,0,6,0.1,20,25,0.0052091,7518
96.5,3.5,0,6,0.1,20,25,0.00542131,7001
96.5,3.5,0,6,0.1,20,25,0.00579436,6132
96.5,3.5,0,6,0.1,20,25,0.00603041,6070
96.5,3.5,0,6,0.1,20,25,0.00644538,5887
96.5,3.5,0,6,0.1,20,25,0.00698121,5710
96.5,3.5,0,6,0.1,20,25,0.00736295,5538
96.5,3.5,0,6,0.1,20,25,0.0076629,5210
